id,genus_and_species,taxonomy_id,strain,superkingdom,phylum,org_class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,r16S_accssion,r16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin
3181,Grimontia indica,1056512,AK16,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Grimontia,,48.7,,HE573748,54.6,10,27.5,25,30,42,32
3182,Georgenia daeguensis,908355,2C6-43,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Bogoriellaceae,Georgenia,,66.2,,HQ246163,59.3,10,27.5,25,30,42,32
3183,Pseudomonas aestusnigri,857252,VGXO14,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,60.9,,HG004394,53.4,18,27.5,25,30,42,24
3184,Poseidonocella pacifica,871651,KMM 9010,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Poseidonocella,,60.5,,AB576005,55.6,5,27.5,25,30,42,37
3185,Sphingomonas ginsenosidimutans,862134,Gsoil 1429,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,65.6,,HM204925,55.7,18,27.5,25,30,42,24
3186,Luteibacter jiangsuensis,637577,JW-64-1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Luteibacter,,63.6,,FJ848571,56,4,27.5,25,30,42,38
3187,Vogesella lacus,488212,GR13,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Vogesella,,63,,EU287927,55,10,27.5,25,30,42,32
3188,Algoriphagus aquaeductus,475299,T4,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,,41.8,,EU161637,53.3,15,27.5,25,30,42,27
3189,Aquabacterium fontiphilum,450365,CS-6,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Aquabacterium,,63.4,,EF626687,55.9,15,27.5,25,30,42,27
3190,Lewinella marina,438751,MKG-38,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Lewinellaceae,Lewinella,,61,,AB301495,54.1,4,27.5,25,30,42,38
3191,Shinella yambaruensis,415996,MS4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,,66.4,,AB285481,54.8,15,27.5,25,30,42,27
3192,Vibrio rhizosphaerae,398736,MSSRF3(,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,51.3,,DQ847123,53.7,20,27.5,25,30,42,22
3193,Galbibacter mesophilus,379069,Mok-17,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Galbibacter,,37,,AB255367,55.3,10,27.5,25,30,42,32
3194,Altererythrobacter indicus,374177,MSSRF26,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,,66.8,,DQ399262,53.2,4,27.5,25,30,42,38
3195,Paraburkholderia ginsengisoli,311231,KMY03,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,,61.6,,AB201286,56,25,27.5,25,30,42,17
3196,Bermanella marisrubri,207949,RED65,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Bermanella,,44,,AY136131,53.4,15,27.5,25,30,42,27
3197,Microbacterium paraoxydans,199592,CF36,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,,69.9,,AJ491806,55.8,15,27.5,25,30,42,27
3198,Acidiphilium organovorum,33999,ATCC 43141,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,,67.5,,D30775,57,15,27.5,25,30,42,27
3199,Roseovarius antarcticus,1535313,M-S13-148 ,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,,60.9,,KM347966,52.8,4,24,18,30,42,38
3200,Streptomyces cyslabdanicus,1470456,K04 E144,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,73,,AB915216,58.2,12,24,18,30,42,30
3201,Hydrogenophaga laconesensis,1805971,HWB-10,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,,,,KT756664,55.7,15,26.5,25,28,42,27
3202,Dyella caseinilytica,1849581,DHOB09,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,,59.4,,KU296960,54.9,10,26.5,25,28,42,32
3203,Massilia humi,1517580,THG-S6.8,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,,66.8,,KM073948,54,4,26.5,25,28,42,38
3204,Alcanivorax pacificus,1306787,W11-5,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,GCA_000299335.2,62.6,4.2,DQ659451,56,10,26.5,25,28,42,32
3205,Ochrovirga pacifica,1042376,S85,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ochrovirga,,34.6,,JN596241,49.6,8,26.5,25,28,42,34
3206,Ferrimonas sediminum,718193,JYr13,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,Ferrimonas,,59,,GU391222,53.9,16,26.5,25,28,42,26
3207,Sporosarcina newyorkensis,759851,6062,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,,42.4,,GU994085,55.4,10,25,22,28,42,32
3208,Pseudonocardia bannensis,630973,YIM 63101,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,,69.4,,FJ817375,60.4,10,24,20,28,42,32
3209,Porticoccus litoralis,434086,IMCC2115,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,Porticoccus,,47.8,,EF468719,54.4,15,22.5,20,25,42,27
3210,Poseidonocella sedimentorum,871652,KMM 9023,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Poseidonocella,,65.4,,AB576006,55.2,7,26.5,25,28,41.5,34.5
3211,Methanolacinia petrolearia,54120,DSM 11571,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanolacinia,GCA_000147875.1,47.4,2.8,NR_102902,55.8,17,40,,,41,24
3212,Methanoplanus limicola,2315,DSM 2279,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoplanus,,47.5,,M59143,53.8,17,40,,,41,24
3213,Ilyobacter delafieldii,933068,10cr1 ,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Ilyobacter,,29,,NR_104743,53,10,40,,,41,31
3214,Selenomonas noxia,135083,ATCC 43541,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,,57,,AF287799,54.7,30,40,,,41,11
3215,Selenomonas lipolytica,60695,CF1B,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,,40,,AF001901,54.3,30,40,,,41,11
3216,Exiguobacterium antarcticum,132920,H2,Bacteria,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,GCA_000299435.1,,2.8,AJ297437,55.3,20,37,,,41,21
3217,Klebsiella quasipneumoniae,1463165,01A030 ,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,GCA_001596075.2,57.8,5.5,HG933296,54.7,11,37,,,41,30
3218,Raoultella electrica,1259973, 1GB,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,GCA_006711645.1,55,5.8,AB762091,53.9,10,37,,,41,31
3219,Streptomyces aqsuensis,2021638,TRM46399,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,68.7,,KY688182,59.2,16,37,,,41,25
3220,Thioclava electrotropha,1549850,ElOx9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thioclava,,63.8,,MG866177,54.4,10,37,,,41,31
3221,Bacillus urumqiensis,1548213,BZ-SZ-XJ18,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,42.3,,KM066107,56.7,8,37,,,41,33
3222,Actinopolyspora salinaria,1434887,HS05-03,Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,,69.9,,AB894336,60.5,22,37,,,41,19
3223,Falsiporphyromonas endometrii,1387297,LMM 40,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Falsiporphyromonas,,40.7,,HF969314,52.4,23,37,,,41,18
3224,Riemerella columbipharyngis,1071918,8151,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Riemerella,,35.7,,HQ286278,50.5,30,37,,,41,11
3225,Halobacillus campisalis,435909,ASL-17,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,42.1,,EF486356,55.8,4,37,,,41,37
3226,Acidihalobacter prosperus,160660,DSM5130,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Acidihalobacter,GCA_001753245.1,59.9,3.6,CP017448,55.8,23,37,,,41,18
3227,Microbulbifer hydrolyticus,48074,IRE-31,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Microbulbiferaceae,Microbulbifer,GCA_009931115.1,57.6,4.2,U58338,53.6,10,37,,,41,31
3228,Acholeplasma laidlawii,2148,PG8 ,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,GCA_000018785.1,31.9,1.5,U14905,48.7,20,37,,,41,21
3229,Hyphomonas jannaschiana,86,VP2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,,60,,AF082789,53.7,31,37,,,41,10
3230,Vagococcus teuberi,519472,CG-21,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,GCA_001870205.1,34.1,2.2,EU489723,52.4,10,37,,,41,31
3231,Corynebacterium hadale,2026255,NBT06-6,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,,65.1,,MF576260,56.1,22,35,,,41,19
3232,Micrococcus aloeverae,1391911,AE-6,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,,70,,KF524364,57.2,15,35,,,41,26
3233,Spirochaeta dissipatitropha,324679,ASpC2,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,,43.8,,AY995150,55.7,13,35,,,41,28
3234,Anoxynatronum sibiricum,210623,Z-7981,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Anoxynatronum,,48.4,,AF522323,55.1,25,35,,,41,16
3235,Stenotrophobacter roseus,1603869,Ac_15_C4,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,,56.8,,KP638489,51.7,16,34.5,,,41,25.5
3236,Alkalicoccus halolimnae,1667239,BZ-SZ-XJ29,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalicoccus,,40,,KX618877,56.8,5,33,,,41,36
3237,Spiroplasma litorale,216942,TN-1,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,GCA_001267155.1,,1.2,AY189306,50,10,32,,,41,31
3238,Bacillus alkalinitrilicus,427920,ANL-iso4,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,35.1,,EF422411,54.8,15,32,,,41,26
3239,Chryseobacterium haifense,421525,H38,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,,37.8,,EF204450,49.7,4,32,,,41,37
3240,Spiroplasma syrphidicola,216945,EA-1,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,GCA_000400955.1,29.2,1.1,AY189309,50.1,10,32,,,41,31
3241,Methanobacterium lacus,877455,17A1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,GCA_000191585.1,35.8,2.6,HQ110085,55.6,14,30,,,41,27
3242,Paracoccus aerius,1915382,11410,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,,63.5,,KX664462,56.8,4,30,,,41,37
3243,Carboxylicivirga taeanensis,1416875,MEBiC 08903,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Carboxylicivirga,,44.1,,KF620113,50,15,30,,,41,26
3244,Rhizobium lemnae,1214924,L6-16,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,,58.1,,AB738386,54.8,20,30,,,41,21
3245,Pseudomonas kunmingensis,1211807,HL22-2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,60.3,,JQ246444,53.6,4,30,,,41,37
3246,Acinetobacter puyangensis,1096779,BQ4-1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,42.8,,KC193569,52.2,10,30,,,41,31
3247,Azospirillum zeae,660513,N7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,,67.6,,DQ682470,57.3,20,30,,,41,21
3248,Salegentibacter salinarum,447422,ISL-4,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salegentibacter,,37.9,,EF612764,51.6,4,30,,,41,37
3249,Salegentibacter salarius,435906,ISL-6,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salegentibacter,,37.5,,EF486353,51.3,4,30,,,41,37
3250,Sagittula stellata,52603, E-37,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sagittula,,65,,U58356,55.2,10,30,,,41,31
3251,Serratia entomophila,42906,AI,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,,58,,AJ233427,54.7,10,30,,,41,31
3252,Thalassospira indica,1891279,PB8B,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,GCA_003403095.1,54.9,4.7,EU440798,55,10,28,,,41,31
3253,Actibacterium atlanticum,1461693,22II-S11-z10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Actibacterium,,59,,KJ159064,54.7,10,28,,,41,31
3254,Sinomonas notoginsengisoli,1457311,SYP-B575,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Sinomonas,,66.6,,KF876688,60,17,28,,,41,24
3255,Oceanococcus atlanticus,1317117,22II-S10r2,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Oceanococcus,,60.7,,KC997601,54,10,28,,,41,31
3256,Celeribacter indicus,1208324,P73,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter,GCA_000819565.1,65.7,5,EU440950,55.6,10,28,,,41,31
3257,Alcanivorax nanhaiticus,1177154,19-m-6,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,,56.4,,KM453740,54.6,4,28,,,41,37
3258,Parvularcula dongshanensis,1173995,SH25,Bacteria,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularcula,,61.8,,JQ778314,55.1,10,28,,,41,31
3259,Flavobacterium beibuense,657326,F44-8,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,38.6,,GQ245972,50.6,4,28,,,41,37
3260,Pseudoxanthomonas indica,428993,P15,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,,62.9,,EF424397,55.6,10,28,,,41,31
3261,Listeria booriae,1552123,FSL A5-0281 ,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,,45.2,,KM066001,53.1,4,35.5,30,41,41,37
3262,Enhydrobacter aerosaccus,225324,ATCC 27094,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,Enhydrobacter,,66,,AJ550856,51.5,20,38,37,39,41,21
3263,Aidingimonas lacisalsi,2604086,XHU 5135,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Aidingimonas,,58.1,,MK296409,57.3,13,36,35,37,41,28
3264,Gulosibacter molinativorax,256821,ON4,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Gulosibacter,,64.5,,AJ306835,56.6,10,36,35,37,41,31
3265,Halorubrum luteum,406549,CGSA15,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,60.2,,DQ987877,59.2,17,35,33,37,41,24
3266,Halomonas ramblicola,747349,RS-16,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,56.2,,GU726750,57.7,4,34.5,32,37,41,37
3267,Mycolicibacterium confluentis,28047,1380/90,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,,,,X63608,58,22,34,31,37,41,19
3268,Mycobacterium intracellulare,1767,DSM 44049,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,GCA_000277125.1,,5.4,X67847,58.5,22,34,31,37,41,19
3269,Chitinolyticbacter meiyuanensis,682798,SYBC-H1,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Chitinolyticbacter,GCA_008033135.1,63.5,4.3,GQ981314,55.3,10,33.5,30,37,41,31
3270,Chryseobacterium daeguense,412438,K105,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,,36.8,,EF076759,50.6,10,33.5,30,37,41,31
3271,Tenacibaculum aestuarii,362781,SMK-4,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,,33.6,,DQ314760,50,9,33.5,30,37,41,32
3272,Thioclava atlantica,1317124,13D2W-2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thioclava,,65.3,,KJ755834,55.1,4,32.5,28,37,41,37
3273,Neptunicella marina,2125989,S27-2,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Neptunicella,,43.7,,KX977388,52.8,10,31,25,37,41,31
3274,Pseudomonas hunanensis,1247546,LV,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,68.9,,JX545210,53.9,10,31,25,37,41,31
3275,Parvibaculum indicum,562969,P31,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Parvibaculum,,62.1,,FJ182044,56.3,10,31,25,37,41,31
3276,Marispirillum indicum,523786,B142,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Marispirillum,,67.3,,EU642410,57,10,31,25,37,41,31
3277,Mongoliitalea lutea,849756,MIM18,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Mongoliitalea,,40.5,,HM140980,53.1,0,31.5,30,33,41,41
3278,Maribacter polysiphoniae,429344,KMM 6151,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,,41.1,,AM497875,53.9,4,31,30,32,41,37
3279,Thioclava indica,1353528,DT23-4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thioclava,,60.3,,KM255690,54.6,10,30,28,32,41,31
3280,Salinimicrobium marinum,680283,KMM 6270,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salinimicrobium,,40.9,,GQ866112,52.2,4,30,28,32,41,37
3281,Salegentibacter agarivorans,345907,KMM 7019,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salegentibacter,,39.2,,DQ191176,51.4,4,30,28,32,41,37
3282,Bacillus oshimensis,290588,K11,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,40.8,,AB188090,54.4,13,30,28,32,41,28
3283,Mameliella atlantica,1542677,L6M1-5 ,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Mameliella,,66,,KJ950370,55.6,10,29,28,30,41,31
3284,Rhizobium pusense,648995,NRCPB10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,GCA_005221365.1,59.2,5,FJ969841,54.7,16,29,28,30,41,25
3285,Actinoallomurus acaciae,502577,GMKU 931,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinoallomurus,,70.6,,EU429322,59.5,12,29,28,30,41,29
3286,Leeuwenhoekiella blandensis,360293,MED 217,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,,42.5,,DQ294290,50.8,10,29,28,30,41,31
3287,Actinocorallia glomerata,46203,DSM 44360,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinocorallia,,71.7,,AF134068,59.9,7,29,28,30,41,34
3288,Mesoflavibacter profundi,2708110,YC1039,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,,29.8,,MF919484,48.5,4,27.5,25,30,41,37
3289,Maribacter marinus,2664937,YC973,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,,36.1,,MF039067,54.9,4,27.5,25,30,41,37
3290,Pseudoruegeria marinistellae,1739787,SF-16,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudoruegeria,,63,,KT944035,55,10,27.5,25,30,41,31
3291,Nitratireductor pacificus,1231180,pht-3B,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Nitratireductor,,63,,DQ659453,56.2,10,27.5,25,30,41,31
3292,Novosphingobium indicum,462949,H25,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,,62,,EF549586,54.3,10,27.5,25,30,41,31
3293,Lutimaribacter pacificus,391948,W11-2B,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Lutimaribacter,,64.6,,DQ659449,55.4,10,27.5,25,30,41,31
3294,Photobacterium lutimaris,388278,DF-42,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,,48.3,,DQ534014,54,4,27.5,25,30,41,37
3295,Leeuwenhoekiella aestuarii,2249426,R-48165,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,,37.8,,MK433602,50.7,4,25,20,30,41,37
3296,Oleiagrimonas soli,1543381,3.5X,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Oleiagrimonas,,67,,KM400682,56.6,4,25,20,30,41,37
3297,Pseudooceanicola atlanticus,1461694,22II-S11g,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola,,64.1,,KJ159065,55.1,10,26.5,25,28,41,31
3298,Aquimarina atlantica,1317122,22II-S11-z7,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,,33,,KF906719,49.1,10,26.5,25,28,41,31
3299,Lysobacter spongiicola,435289, KMM 329,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,,69,,AB299978,56.1,5,26.5,25,28,41,36
3300,Echinicola pacifica,346377,KMM6172,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Echinicola,,44.5,,DQ185611,53.5,6,26.5,25,28,41,35
3301,Raineyella antarctica,1577474,LZ-22,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Raineyella,,70.2,,KM406782,57.8,3,26,24,28,41,38
3302,Marinobacter excellens,218670,KMM 3809,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,55.5,,AY180101,54.7,10,22.5,20,25,41,31
3303,Clostridium frigidicarnis,84698,SPL77A,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,27.9,,AF069742,52.7,4,34.25,30,38.5,40.5,36.7
3304,Actinomadura rhizosphaerae,2291546,SDA37,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,,73.1,,LC369500,59.9,20,33.5,30,37,40,20
3305,Ruegeria kandeliae,2174228,J95,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,,65.7,,KY038376,55,10,33.5,30,37,40,30
3306,Sphingomonas tabacisoli,2249466,X1-8,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,66.5,,MF370621,55.1,25,32.5,30,35,40,15
3307,Planococcus halotolerans,2233542,SCU63,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,,44.6,,MH266202,56.3,0,32.5,30,35,40,40
3308,Labedella populi,2498850,8H24J-4-2,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Labedella,,68.9,,MK333281,55.8,10,31,30,32,40,30
3309,Labedella phragmitis,2498849,11W25H-1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Labedella,,69.1,,MK333282,55.8,10,29,28,30,40,30
3310,Pontibacter silvestris,2305183, XAAS-R86,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,,43.9,,MG547902,55.8,4,29,28,30,40,36
3311,Pseudonocardia mangrovi,2283313,SMC 195,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,,74,,KY859773,59.2,20,29,28,30,40,20
3312,Microbulbifer rhizosphaerae,1562603,Cs16b,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Microbulbiferaceae,Microbulbifer,,60,,LN624392,55,15,40,,,40,25
3313,Desulfosalsimonas propionicica,332175,PropA,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfosalsimonas,,54.1,,DQ067422,55.4,15,40,,,40,25
3314,Methanimicrococcus blatticola,91560,PA,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanimicrococcus,,55,,AJ238002,55.1,20,39,,,40,20
3315,Nitrospira moscoviensis,42253,M-1 ,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,GCA_001273775.1,62,4.6,X82558,57.8,33,39,,,40,7
